time,OKtime,date
2024_01_28__03_48_00,2432880,0.17863
2024_01_28__03_48_05,2432885,0.178458
2024_01_28__03_48_10,2432890,0.17863
2024_01_28__03_48_15,2432895,0.17863
2024_01_28__03_48_20,2432900,0.178458
2024_01_28__03_48_25,2432905,0.17863
2024_01_28__03_48_30,2432910,0.17863
2024_01_28__03_48_35,2432915,0.17863
2024_01_28__03_48_40,2432920,0.178458
2024_01_28__03_48_45,2432925,0.17863
2024_01_28__03_48_50,2432930,0.178458
2024_01_28__03_48_55,2432935,0.178458
2024_01_28__03_49_00,2432940,0.17863
2024_01_28__03_49_05,2432945,0.17863
2024_01_28__03_49_10,2432950,0.178458
2024_01_28__03_49_15,2432955,0.178458
2024_01_28__03_49_20,2432960,0.17863
2024_01_28__03_49_25,2432965,0.17863
2024_01_28__03_49_30,2432970,0.17863
2024_01_28__03_49_35,2432975,0.178458
2024_01_28__03_49_40,2432980,0.17863
2024_01_28__03_49_45,2432985,0.17863
2024_01_28__03_49_50,2432990,0.17863
2024_01_28__03_49_55,2432995,0.17863
2024_01_28__03_50_00,2433000,0.17863
2024_01_28__03_50_05,2433005,0.178458
2024_01_28__03_50_10,2433010,0.367232
2024_01_28__03_50_11,2433011,0.367232
2024_01_28__03_50_12,2433012,0.367232
2024_01_28__03_50_13,2433013,0.367232
2024_01_28__03_50_14,2433014,0.367232
2024_01_28__03_50_15,2433015,0.367232
2024_01_28__03_50_16,2433016,0.367232
2024_01_28__03_50_17,2433017,0.367232
2024_01_28__03_50_18,2433018,0.36259
2024_01_28__03_50_19,2433019,0.298978
2024_01_28__03_50_20,2433020,0.298978
2024_01_28__03_50_21,2433021,0.298978
2024_01_28__03_50_22,2433022,0.29915
2024_01_28__03_50_23,2433023,0.298978
2024_01_28__03_50_24,2433024,0.374109
2024_01_28__03_50_25,2433025,0.374281
2024_01_28__03_50_26,2433026,0.374281
2024_01_28__03_50_27,2433027,0.374281
2024_01_28__03_50_28,2433028,0.374281
2024_01_28__03_50_29,2433029,0.450272
2024_01_28__03_50_30,2433030,0.456117
2024_01_28__03_50_31,2433031,0.456289
2024_01_28__03_50_32,2433032,0.489642
2024_01_28__03_50_33,2433033,0.482422
2024_01_28__03_50_34,2433034,0.487751
2024_01_28__03_50_35,2433035,0.51715
2024_01_28__03_50_36,2433036,0.51715
2024_01_28__03_50_37,2433037,0.522308
2024_01_28__03_50_38,2433038,0.51354
2024_01_28__03_50_39,2433039,0.485344
2024_01_28__03_50_40,2433040,0.388035
2024_01_28__03_50_41,2433041,0.28849
2024_01_28__03_50_42,2433042,0.210608
