time,OKtime,date
2024_01_27__23_58_10,2419090,2.71848
2024_01_27__23_58_12,2419092,2.71813
2024_01_27__23_58_14,2419094,2.71384
2024_01_27__23_58_16,2419096,2.71796
2024_01_27__23_58_18,2419098,2.71384
2024_01_27__23_58_20,2419100,2.71384
2024_01_27__23_58_22,2419102,2.71384
2024_01_27__23_58_24,2419104,2.71091
2024_01_27__23_58_26,2419106,2.71023
2024_01_27__23_58_28,2419108,2.71023
2024_01_27__23_58_30,2419110,2.71005
2024_01_27__23_58_32,2419112,2.71005
2024_01_27__23_58_34,2419114,2.71384
2024_01_27__23_58_36,2419116,2.71401
2024_01_27__23_58_38,2419118,2.71452
2024_01_27__23_58_40,2419120,2.7147
2024_01_27__23_58_42,2419122,2.7147
2024_01_27__23_58_44,2419124,2.71418
2024_01_27__23_58_46,2419126,2.71005
2024_01_27__23_58_48,2419128,2.71384
2024_01_27__23_58_50,2419130,2.71401
2024_01_27__23_58_52,2419132,2.71435
2024_01_27__23_58_54,2419134,2.71418
2024_01_27__23_58_56,2419136,2.71452
2024_01_27__23_58_58,2419138,2.7104
2024_01_27__23_59_00,2419140,2.7104
2024_01_27__23_59_02,2419142,2.71418
2024_01_27__23_59_04,2419144,2.71831
2024_01_27__23_59_06,2419146,2.71057
2024_01_27__23_59_08,2419148,2.71435
2024_01_27__23_59_10,2419150,2.71057
2024_01_27__23_59_12,2419152,2.71109
2024_01_27__23_59_14,2419154,2.71401
2024_01_27__23_59_16,2419156,2.71332
2024_01_27__23_59_18,2419158,2.71109
2024_01_27__23_59_20,2419160,2.70937
2024_01_27__23_59_22,2419162,2.71177
2024_01_27__23_59_24,2419164,2.71418
2024_01_27__23_59_26,2419166,2.7147
2024_01_27__23_59_28,2419168,2.71435
2024_01_27__23_59_30,2419170,2.71057
2024_01_27__23_59_32,2419172,2.7104
2024_01_27__23_59_34,2419174,2.71487
2024_01_27__23_59_36,2419176,2.71452
2024_01_27__23_59_38,2419178,2.7061
2024_01_27__23_59_40,2419180,2.70576
2024_01_27__23_59_42,2419182,2.71435
2024_01_27__23_59_44,2419184,2.70988
2024_01_27__23_59_46,2419186,2.71384
2024_01_27__23_59_48,2419188,2.68409
2024_01_27__23_59_50,2419190,2.71384
2024_01_27__23_59_52,2419192,2.71848
2024_01_27__23_59_54,2419194,2.71401
2024_01_27__23_59_56,2419196,2.71848
2024_01_27__23_59_58,2419198,2.70988
2024_01_28__00_00_00,2419200,2.71418
2024_01_28__00_00_02,2419202,2.71366
2024_01_28__00_00_04,2419204,2.71349
2024_01_28__00_00_06,2419206,2.71349
2024_01_28__00_00_08,2419208,2.70541
2024_01_28__00_00_10,2419210,2.71435
2024_01_28__00_00_12,2419212,2.71487
2024_01_28__00_00_14,2419214,2.71109
2024_01_28__00_00_16,2419216,2.71435
2024_01_28__00_00_18,2419218,2.71418
2024_01_28__00_00_20,2419220,2.71057
2024_01_28__00_00_22,2419222,2.71813
2024_01_28__00_00_24,2419224,2.71366
2024_01_28__00_00_26,2419226,2.71384
2024_01_28__00_00_28,2419228,2.71366
2024_01_28__00_00_30,2419230,2.70971
2024_01_28__00_00_32,2419232,2.71005
2024_01_28__00_00_34,2419234,2.71349
2024_01_28__00_00_36,2419236,2.70971
2024_01_28__00_00_38,2419238,2.71813
2024_01_28__00_00_40,2419240,2.71831
2024_01_28__00_00_42,2419242,2.71435
2024_01_28__00_00_44,2419244,2.70988
2024_01_28__00_00_46,2419246,2.7147
2024_01_28__00_00_48,2419248,2.71057
2024_01_28__00_00_50,2419250,2.71005
2024_01_28__00_00_52,2419252,2.70541
2024_01_28__00_00_54,2419254,2.71435
2024_01_28__00_00_56,2419256,2.7104
2024_01_28__00_00_58,2419258,2.71418
2024_01_28__00_01_00,2419260,2.71384
2024_01_28__00_01_02,2419262,2.71366
2024_01_28__00_01_04,2419264,2.71109
2024_01_28__00_01_06,2419266,2.71109
2024_01_28__00_01_08,2419268,2.71057
2024_01_28__00_01_10,2419270,2.71418
2024_01_28__00_01_12,2419272,2.71779
2024_01_28__00_01_14,2419274,2.71384
2024_01_28__00_01_16,2419276,2.71143
2024_01_28__00_01_18,2419278,2.71126
2024_01_28__00_01_20,2419280,2.71057
2024_01_28__00_01_22,2419282,2.71418
2024_01_28__00_01_24,2419284,2.71109
2024_01_28__00_01_26,2419286,2.71865
2024_01_28__00_01_28,2419288,2.71401
2024_01_28__00_01_30,2419290,2.71418
2024_01_28__00_01_32,2419292,2.71401
2024_01_28__00_01_34,2419294,2.71796
2024_01_28__00_01_36,2419296,2.70937
2024_01_28__00_01_38,2419298,2.71349
2024_01_28__00_01_40,2419300,2.71332
2024_01_28__00_01_42,2419302,2.70954
2024_01_28__00_01_44,2419304,2.70971
2024_01_28__00_01_46,2419306,2.71384
2024_01_28__00_01_48,2419308,2.71418
2024_01_28__00_01_50,2419310,2.71831
2024_01_28__00_01_52,2419312,2.71126
2024_01_28__00_01_54,2419314,2.71109
2024_01_28__00_01_56,2419316,2.70576
2024_01_28__00_01_59,2419319,2.71435
2024_01_28__00_02_00,2419320,2.7061
2024_01_28__00_02_02,2419322,2.71109
2024_01_28__00_02_05,2419325,2.70988
2024_01_28__00_02_07,2419327,2.71384
2024_01_28__00_02_09,2419329,2.71091
2024_01_28__00_02_11,2419331,2.71366
2024_01_28__00_02_13,2419333,2.71349
2024_01_28__00_02_15,2419335,2.71401
2024_01_28__00_02_17,2419337,2.71349
2024_01_28__00_02_19,2419339,2.71366
2024_01_28__00_02_21,2419341,2.71091
2024_01_28__00_02_23,2419343,2.70472
2024_01_28__00_02_25,2419345,2.70902
2024_01_28__00_02_27,2419347,2.71349
2024_01_28__00_02_29,2419349,2.71384
2024_01_28__00_02_31,2419351,2.71366
2024_01_28__00_02_33,2419353,2.71109
2024_01_28__00_02_35,2419355,2.71332
2024_01_28__00_02_37,2419357,2.71366
2024_01_28__00_02_39,2419359,2.70954
2024_01_28__00_02_41,2419361,2.71366
2024_01_28__00_02_43,2419363,2.71796
2024_01_28__00_02_45,2419365,2.71384
2024_01_28__00_02_47,2419367,2.70988
2024_01_28__00_02_49,2419369,2.71813
2024_01_28__00_02_51,2419371,2.71109
2024_01_28__00_02_53,2419373,2.71779
2024_01_28__00_02_55,2419375,2.71796
2024_01_28__00_02_57,2419377,12.1142
2024_01_28__00_02_59,2419379,0.605348
2024_01_28__00_03_01,2419381,12.1156
2024_01_28__00_03_03,2419383,0.560132
2024_01_28__00_03_05,2419385,2.47658
2024_01_28__00_03_07,2419387,2.47211
2024_01_28__00_03_09,2419389,2.46816
2024_01_28__00_03_11,2419391,2.47658
2024_01_28__00_03_13,2419393,2.47211
2024_01_28__00_03_15,2419395,2.46764
2024_01_28__00_03_17,2419397,2.47985
2024_01_28__00_03_19,2419399,2.4599
2024_01_28__00_03_21,2419401,2.46833
2024_01_28__00_03_23,2419403,2.46833
2024_01_28__00_03_25,2419405,2.46833
2024_01_28__00_03_27,2419407,2.4642
2024_01_28__00_03_29,2419409,2.47297
2024_01_28__00_03_31,2419411,2.46489
2024_01_28__00_03_33,2419413,2.47297
2024_01_28__00_03_35,2419415,2.47314
2024_01_28__00_03_37,2419417,2.46437
2024_01_28__00_03_39,2419419,2.46369
2024_01_28__00_03_41,2419421,2.47624
2024_01_28__00_03_43,2419423,2.51011
2024_01_28__00_03_45,2419425,12.1145
2024_01_28__00_03_47,2419427,1.03207
2024_01_28__00_03_49,2419429,1.82688
2024_01_28__00_03_51,2419431,2.4893
2024_01_28__00_03_53,2419433,2.7771
2024_01_28__00_03_55,2419435,0.732744
2024_01_28__00_03_57,2419437,0.399726
2024_01_28__00_03_59,2419439,0.404368
2024_01_28__00_04_01,2419441,0.429984
2024_01_28__00_04_03,2419443,0.397491
2024_01_28__00_04_05,2419445,0.406775
2024_01_28__00_04_07,2419447,0.390442
2024_01_28__00_04_09,2419449,0.406775
2024_01_28__00_04_11,2419451,0.296399
2024_01_28__00_04_13,2419453,0.207513
2024_01_28__00_04_15,2419455,0.216626
2024_01_28__00_04_17,2419457,0.254449
2024_01_28__00_04_19,2419459,999.9
2024_01_28__00_04_21,2419461,0.110204
2024_01_28__00_04_23,2419463,0.110204
2024_01_28__00_04_25,2419465,0.110204
2024_01_28__00_04_27,2419467,0.127912
